id,question,optionA,optionB,optionC,optionD,correctAnswerIndex
1,"Select the synonym of 'diligent'.","lazy","industrious","apathetic","indifferent",1
2,"Select the synonym of 'abundant'.","scarce","plentiful","meager","limited",1
3,"Select the synonym of 'verbose'.","succinct","brief","wordy","laconic",2
4,"Select the synonym of 'melancholy'.","joyful","happy","sorrowful","excited",2
5,"Select the synonym of 'exemplary'.","commendable","ordinary","mediocre","flawed",0
6,"Select the synonym of 'impartial'.","biased","partial","unfair","unbiased",3
7,"Select the synonym of 'futile'.","productive","effective","useless","beneficial",2
8,"Select the synonym of 'robust'.","fragile","weak","feeble","strong",3
9,"Select the synonym of 'novice'.","expert","veteran","beginner","professional",2
10,"Select the synonym of 'arduous'.","easy","simple","difficult","effortless",2
11,"Select the synonym of 'elaborate'.","plain","detailed","simple","brief",1
12,"Select the synonym of 'prudent'.","reckless","impulsive","wise","foolish",2
13,"Select the synonym of 'coherent'.","confusing","illogical","disorganized","logical",3
14,"Select the synonym of 'tenacious'.","persistent","yielding","fragile","indifferent",0
15,"Select the synonym of 'gregarious'.","shy","sociable","introverted","reserved",1
16,"Select the synonym of 'meticulous'.","careless","sloppy","precise","hasty",2
17,"Select the synonym of 'candid'.","deceitful","honest","insincere","evasive",1
18,"Select the synonym of 'plausible'.","believable","absurd","unrealistic","implausible",0
19,"Select the synonym of 'sparse'.","abundant","dense","scanty","copious",2
20,"Select the synonym of 'venerable'.","disrespected","modern","respected","contemporary",2
21,"Select the antonym of 'obsolete'.","antique","modern","outdated","archaic",1
22,"Select the antonym of 'lucid'.","clear","obscure","transparent","evident",1
23,"Select the antonym of 'conventional'.","traditional","orthodox","unorthodox","standard",2
24,"Select the antonym of 'erratic'.","unpredictable","stable","irregular","capricious",1
25,"Select the antonym of 'inherent'.","intrinsic","essential","extrinsic","innate",2
26,"Select the antonym of 'plausible'.","credible","believable","implausible","convincing",2
27,"Select the antonym of 'vivid'.","bright","vibrant","dull","lively",2
28,"Select the antonym of 'transparent'.","clear","translucent","sheer","opaque",3
29,"Select the antonym of 'amiable'.","friendly","cordial","unfriendly","genial",2
30,"Select the antonym of 'abundant'.","plentiful","ample","scarce","copious",2
31,"Select the antonym of 'superficial'.","shallow","profound","surface","frivolous",1
